,salary,score
0,1,0.35731688660083233
1,1,0.35906060293520137
2,1,0.3608043192695704
3,2,0.5138051423682363
4,2,0.5160446319754044
5,2,0.5182841215825725
6,3,0.4999062246918046
7,3,0.5102383327229942
8,3,0.5205704407541838
